ID;LONG;LAT;PROF;Globocassidulina;Obs_bin;Obs>1_bin
245;-44,5;-25;1132;8,94;1;1
246;-44,3;-24,7;621;14,65;1;1
247;-44,2;-24,8;964;5,3;1;1
248;-44;-24,7;983;6,5;1;1
249;-44,1;-24,6;687;4,88;1;1
250;-44,3;-23,4;45;78,7;1;1
251;-44,2;-23,7;83;56,3;1;1
252;-44;-23,9;126;57,75;1;1
253;-44;-24,3;203;5,68;1;1
254;-43,8;-24,4;652;0;0;0
255;-43,7;-24,5;1000;49,99;1;1
